City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Sinnamary,GF,75.72,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
466,Alyangula,AU,87.3,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
473,Ilheus,BR,75.54,scattered clouds,-14.7889,-39.0494,Barravento Hotel
475,Takoradi,GH,77.36,few clouds,4.8845,-1.7554,Raybow International Hotel
476,Manadhoo,MV,80.51,scattered clouds,5.7667,73.3833,Bon Abri maldives
486,Poum,NC,80.92,overcast clouds,-20.2333,164.0167,
490,Madang,PG,84.88,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
495,Tabuk,PH,81.19,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
496,Ahuimanu,US,78.51,shower rain,21.4447,-157.8378,Paradise Bay Resort
501,Basco,PH,75.24,few clouds,20.4487,121.9702,Nathaniel's Lodge
502,Daru,PG,85.12,overcast clouds,-9.0763,143.2092,Daru Lodge
507,Tabou,CI,78.22,clear sky,4.423,-7.3528,hotêl doufoulougou
513,Cotonou,BJ,78.67,clear sky,6.3654,2.4183,Novotel Cotonou Orisha
531,Tondano,ID,78.89,broken clouds,1.3038,124.9112,Villa Bella
532,Sambava,MG,76.68,overcast clouds,-14.2667,50.1667,Melrose
535,Soyo,AO,75.49,broken clouds,-6.1349,12.3689,Hotel Mpampa
538,Kirakira,SB,83.34,overcast clouds,-10.4544,161.9205,SanBiz Lodge
548,Ambilobe,MG,75.06,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
553,Proddatur,IN,76.1,broken clouds,14.7333,78.55,Sri Swasthik Residency
554,Omboue,GA,78.31,overcast clouds,-1.5746,9.2618,Hotel Olako
563,Puerto Ayacucho,VE,76.33,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
573,Quatre Cocos,MU,82.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
574,Idenao,CM,76.91,broken clouds,4.2475,9.0047,Moland Beach Resort
575,Barra,BR,75.49,scattered clouds,-11.0894,-43.1417,Motel Albatroz
576,Meulaboh,ID,77.4,overcast clouds,4.1363,96.1285,Kost Pria
583,Harper,LR,78.31,few clouds,4.375,-7.7169,Screensaver
589,Bayeux,BR,75.83,few clouds,-7.125,-34.9322,Infinity Motel
592,Auki,SB,82.27,heavy intensity rain,-8.7676,160.7034,Auki Motel
605,Nanakuli,US,78.75,light intensity drizzle,21.3906,-158.1547,Camp Pālehua
612,Vao,NC,80.55,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
624,Moroni,KM,79.92,broken clouds,-11.7022,43.2551,Hotel les Arcades
628,Ciudad Bolivar,VE,77.18,overcast clouds,8.1222,-63.5497,Hotel Edi
629,Sabya,SA,77.13,broken clouds,17.1495,42.6254,Aseel Hotel Apartment
634,Guanica,PR,75.06,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
640,Gambela,ET,77.67,few clouds,8.25,34.5833,Solomon Debebe Hotel
645,Pitimbu,BR,75.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
654,Da Lat,VN,77.13,broken clouds,11.9465,108.4419,Khách Sạn Dragon King I
657,Warragul,AU,78.64,overcast clouds,-38.1667,145.9333,Comfort Inn & Suites Warragul
662,Launceston,AU,81.61,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
664,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
673,Shwebo,MM,75.9,clear sky,22.5667,95.7,MOON SHINE Guest House
676,Sola,VU,81.82,overcast clouds,-13.8833,167.55,Leumerus Bungalows
679,Biak,ID,80.71,light rain,-0.9131,122.8766,Penginapan Kim
682,Belmonte,BR,79.3,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
684,Cap Malheureux,MU,82.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
688,Gondanglegi,ID,79.32,light rain,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
695,Balaipungut,ID,79.21,overcast clouds,1.05,101.2833,
