City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
162,Makakilo City,100,US,2022-02-08 01:13:16,58,21.3469,-158.0858,77.32,17.27
163,Namatanai,100,PG,2022-02-08 01:13:17,69,-3.6667,152.4333,85.14,6.62
164,Nizwa,6,OM,2022-02-08 01:13:17,49,22.9333,57.5333,57.25,2.53
165,Ilo,40,PE,2022-02-08 01:13:17,83,-17.6394,-71.3375,69.67,4.88
166,Batagay-Alyta,92,RU,2022-02-08 01:13:18,96,67.8006,130.4114,-30.12,4.47
167,Dandong,17,CN,2022-02-08 01:09:11,60,40.1292,124.3947,22.68,4.07
168,Kanker,0,IN,2022-02-08 01:13:18,39,20.2719,81.4931,57.6,1.32
169,Cordoba,0,AR,2022-02-08 01:08:39,81,-31.4135,-64.1811,67.41,5.75
170,Ketchikan,100,US,2022-02-08 01:13:19,81,55.3422,-131.6461,41.47,12.66
171,Aasiaat,100,GL,2022-02-08 01:13:19,87,68.7098,-52.8699,0.9,14.65
172,Jackson,0,US,2022-02-08 01:08:54,38,42.4165,-122.8345,59.14,3.44
173,Karratha,63,AU,2022-02-08 01:13:20,66,-20.7377,116.8463,85.68,9.66
174,Georgetown,20,MY,2022-02-08 01:08:31,87,5.4112,100.3354,80.53,5.75
175,Kahului,20,US,2022-02-08 01:13:20,66,20.8947,-156.47,82.42,21.85
176,Belmonte,84,BR,2022-02-08 01:13:20,81,-15.8631,-38.8828,79.3,5.7
177,Mandan,0,US,2022-02-08 01:13:21,63,46.8267,-100.8896,45.03,12.66
178,Majene,97,ID,2022-02-08 01:13:21,81,-3.5403,118.9707,79.54,2.04
179,Aklavik,100,CA,2022-02-08 01:13:21,89,68.2191,-135.0107,-27.31,10.16
180,Mar Del Plata,40,AR,2022-02-08 01:13:22,75,-38.0023,-57.5575,65.08,5.01
181,Thompson,100,CA,2022-02-08 01:13:22,96,55.7435,-97.8558,27.21,7.16
182,Evensk,17,RU,2022-02-08 01:13:11,68,61.95,159.2333,3.51,7.65
183,Puerto Escondido,20,MX,2022-02-08 01:14:23,65,15.85,-97.0667,81.43,4.61
184,Lagoa,49,PT,2022-02-08 01:14:23,67,39.05,-27.9833,59.2,8.52
185,Bonavista,100,CA,2022-02-08 01:14:23,78,48.6499,-53.1147,22.12,18.12
186,Dauphin,40,CA,2022-02-08 01:14:24,74,51.1494,-100.0502,26.74,12.66
187,Oistins,28,BB,2022-02-08 01:14:24,74,13.0667,-59.5333,76.59,16.64
188,Rocha,0,UY,2022-02-08 01:14:25,82,-34.4833,-54.3333,61.48,7.16
189,Bengkulu,99,ID,2022-02-08 01:14:25,82,-3.8004,102.2655,77.27,5.03
190,Anloga,97,GH,2022-02-08 01:14:25,81,5.7947,0.8973,80.37,8.41
